Trust Code,Location,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01
RA7,"(51.4606972522896, -2.5948179471642177)",23,24,16,21,18,19,14,27,21,17,19,26,14,18,12,21,17,17,18,17,21,26,22,19,12,21,18,27,16,25,17,14,14,17,18,12,19,18,18,23,34,29,20,24,25,13,22,21,14,20,19,19,18,19,19,20,16,17,21,24,23,25,16,24,20,22,16,19,15,19,15,21,21,28,24,22,31,35,28,19,24,31,30,31,30,28,24,32,31,21,20,23,25,24,19
RKB,"(52.42144616971609, -1.4376872258952011)",29,29,30,17,27,22,29,21,22,32,19,22,20,24,16,36,36,23,22,32,21,32,23,22,24,24,19,31,34,29,31,24,25,25,18,27,16,29,29,23,29,17,25,30,21,33,22,20,24,31,22,29,29,36,33,31,32,21,22,25,22,41,28,24,24,30,22,32,35,24,35,30,33,24,30,32,36,29,29,24,28,24,24,29,21,26,28,28,34,28,29,24,26,32,28
RWE,"(52.63083959918536, -1.0807791801337059)",39,44,45,46,51,48,49,31,40,49,43,39,49,41,36,46,44,53,48,41,46,44,30,36,42,39,51,45,66,54,39,54,42,37,57,40,56,55,48,65,48,57,52,52,46,45,38,69,43,45,36,39,62,64,56,44,48,49,53,53,47,45,54,52,42,48,45,48,44,50,34,42,52,62,46,41,37,54,41,39,32,41,31,43,45,52,37,55,53,47,43,48,34,44,45
RTX,"(54.30701403915633, -2.7346238247573615)",21,19,18,19,27,11,15,16,13,10,11,16,14,19,20,18,21,5,19,16,16,17,23,20,20,15,18,24,21,18,14,21,18,17,18,8,13,15,21,23,22,26,29,20,21,20,17,17,19,27,20,19,31,18,22,16,21,18,13,20,27,23,30,33,28,27,17,21,24,27,22,30,16,13,17,32,25,34,17,24,28,13,18,27,30,19,21,27,35,27,20,29,25,23,26
RBK,"(52.58373862419842, -1.9989567178722143)",15,13,17,14,21,19,17,18,16,17,11,14,13,16,15,11,13,20,12,9,19,11,19,17,12,12,14,14,19,11,12,12,10,8,14,13,14,19,8,17,11,13,14,7,8,8,10,6,12,12,10,10,14,8,12,6,13,9,9,13,13,12,15,14,13,12,10,12,11,7,18,14,10,16,15,24,18,21,9,15,7,11,17,16,9,11,15,8,8,19,15,10,16,24,15
RWW,"(53.39455369387085, -2.6103923718557267)",12,18,20,13,13,13,22,19,23,8,11,14,12,13,8,15,16,15,17,11,15,22,18,16,16,14,10,20,18,11,11,12,9,18,15,4,13,17,15,11,14,13,17,7,8,11,12,17,14,14,14,11,22,13,16,21,16,16,12,17,21,16,18,24,16,21,19,17,12,11,14,15,17,20,17,22,21,19,20,14,14,17,13,17,19,25,22,21,19,22,19,14,16,14,14
RWG,"(51.65241813501565, -0.4065803808753144)",18,16,12,20,19,19,13,18,14,12,12,14,7,13,20,21,16,22,22,21,11,20,23,20,14,19,18,23,30,20,29,9,18,18,11,19,18,13,16,22,26,20,17,20,29,16,17,18,11,14,14,24,15,17,15,19,21,20,18,18,18,14,26,28,24,24,16,23,26,16,30,27,22,26,33,33,34,24,25,26,36,32,18,27,22,17,29,34,29,23,29,28,29,25,21
RFW,"(51.474163190236965, -0.3244070571474484)",11,14,12,18,18,15,19,7,14,13,9,12,11,10,16,12,12,15,14,8,8,21,14,24,13,20,15,10,12,7,12,7,10,17,18,18,14,13,18,17,12,12,12,19,11,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RGR,"(52.23191674285068, 0.7090418200287032)",13,8,9,13,17,14,9,9,13,16,16,11,14,12,16,20,17,13,10,13,15,11,15,15,16,20,18,17,13,22,16,11,13,9,18,23,15,20,17,11,15,15,13,21,16,16,14,10,9,8,14,15,21,26,15,16,16,19,9,15,12,11,16,15,11,17,13,19,16,9,11,10,15,21,16,14,16,14,16,13,14,10,9,17,13,21,19,28,27,16,13,19,21,13,16
RYR,"(50.84382395798602, -0.7680505421709104)",21,30,15,32,29,22,35,23,23,14,12,21,25,30,23,26,30,18,30,26,31,24,25,24,23,28,22,23,38,18,19,25,30,27,19,37,21,23,25,34,23,35,26,22,24,16,26,37,46,26,28,36,37,44,39,28,26,35,33,40,30,28,27,39,47,31,38,36,25,35,29,33,32,34,30,27,29,30,33,24,28,25,22,29,38,38,39,28,47,26,45,37,34,33,29
